Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente;Valor Venda;Valor Recebido;Vr. Desconto;Tx Serviço;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
;Código;Produto;Qtde;Vr. Total;Vr. Unitário;Observação;Hora Lançamento;Computador;Operação;Atendente;CO_VENDA;IC_ITEM_CANCELADO
;86;COUVERT LOCA;1;10;10;;26/11/2022 23:04:14;SERVIDOR;6;MARCOS;1277301;F
;86;COUVERT LOCA;1;10;10;;26/11/2022 23:04:14;SERVIDOR;6;MARCOS;1277301;F
1277201;;9449;26/11/2022 20:28:52;26/11/2022 22:56:49;;129;129;0;11;10;LOCA;63601;MARCOS;CAIXA;;;;;;;1;;;;;3301;
;10;COPO SUCO;1;12;12;;26/11/2022 20:28:53;SERVIDOR;10;MARCOS;1277201;F
;420;HEINEKEN LONG NECK;1;12;12;;26/11/2022 20:28:53;SERVIDOR;10;MARCOS;1277201;F
;422;PORÇÃO FOCACCIA;1;19;19;;26/11/2022 20:30:08;SERVIDOR;10;MARCOS;1277201;F
;436;BRUSCHETA;1;28;28;;26/11/2022 20:30:17;SERVIDOR;10;MARCOS;1277201;F
;420;HEINEKEN LONG NECK;1;12;12;;26/11/2022 20:55:04;SERVIDOR;10;HENRIQUE;1277201;F
;111;AGUA SEM GAS;1;7;7;;26/11/2022 22:34:53;SERVIDOR;10;MARCOS;1277201;F
;23;BROWNIE DE CHOCOLATE;1;19;19;;26/11/2022 22:34:53;SERVIDOR;10;MARCOS;1277201;F
;86;COUVERT LOCA;1;10;10;;26/11/2022 22:52:51;SERVIDOR;10;HENRIQUE;1277201;F
;86;COUVERT LOCA;1;10;10;;26/11/2022 22:52:51;SERVIDOR;10;HENRIQUE;1277201;F
1277101;;9448;26/11/2022 21:22:19;26/11/2022 22:55:55;;282;282;0;25,2;1;LOCA;63601;MARCOS;CAIXA;;;;;;;1;;;;;3301;
